county_name|county_short|district_name
Восточный|ВАО|Богородское
Восточный|ВАО|Вешняки
Восточный|ВАО|Восточное Измайлово
Восточный|ВАО|Гольяново
Восточный|ВАО|Ивановское
Восточный|ВАО|Измайлово
Восточный|ВАО|Косино-Ухтомский
Восточный|ВАО|Метрогородок
Восточный|ВАО|Новогиреево
Восточный|ВАО|Новокосино
Восточный|ВАО|Перово
Восточный|ВАО|Преображенское
Восточный|ВАО|Северное Измайлово
Восточный|ВАО|СоколинаяГора
Восточный|ВАО|Сокольники
Западный|ЗАО|Внуково
Западный|ЗАО|Дорогомилово
Западный|ЗАО|Крылатское
Западный|ЗАО|Кунцево
Западный|ЗАО|Можайский
Западный|ЗАО|Ново-Переделкино
Западный|ЗАО|Очаково-Матвеевское
Западный|ЗАО|Проспект Вернадского
Западный|ЗАО|Раменки
Западный|ЗАО|Солнцево
Западный|ЗАО|Тропарево-Никулино
Западный|ЗАО|Филевский Парк
Западный|ЗАО|Фили-Давыдково
Зеленоградский|ЗелАО|Крюково
Зеленоградский|ЗелАО|Матушкино
Зеленоградский|ЗелАО|Савёлки
Зеленоградский|ЗелАО|Силино
Зеленоградский|ЗелАО|Старое Крюково
Новомосковский|НАО|Внуковское
Новомосковский|НАО|Воскресенское
Новомосковский|НАО|Десёновское
Новомосковский|НАО|Кокошкино
Новомосковский|НАО|Марушкинское
Новомосковский|НАО|Московский
Новомосковский|НАО|Мосрентген
Новомосковский|НАО|Рязановское
Новомосковский|НАО|Сосенское
Новомосковский|НАО|Филимонковское
Новомосковский|НАО|Щербинка
Северный|САО|Аэропорт
Северный|САО|Беговой
Северный|САО|Бескудниковский
Северный|САО|Войковский
Северный|САО|Восточное Дегунино
Северный|САО|Головинский
Северный|САО|Дмитровский
Северный|САО|Западное Дегунино
Северный|САО|Коптево
Северный|САО|Левобережный
Северный|САО|Молжаниновский
Северный|САО|Савеловский
Северный|САО|Северный(САО)
Северный|САО|Сокол
Северный|САО|Тимирязевский
Северный|САО|Ховрино
Северный|САО|Хорошевский
Северо-Восточный|СВАО|Алексеевский
Северо-Восточный|СВАО|Алтуфьевский
Северо-Восточный|СВАО|Бабушкинский
Северо-Восточный|СВАО|Бибирево
Северо-Восточный|СВАО|Бутырский
Северо-Восточный|СВАО|Лианозово
Северо-Восточный|СВАО|Лосиноостровский
Северо-Восточный|СВАО|Марфино
Северо-Восточный|СВАО|Марьина Роща
Северо-Восточный|СВАО|Останкинский
Северо-Восточный|СВАО|Отрадное
Северо-Восточный|СВАО|Ростокино
Северо-Восточный|СВАО|Свиблово
Северо-Восточный|СВАО|Северное Медведково
Северо-Восточный|СВАО|Северный
Северо-Восточный|СВАО|Южное Медведково
Северо-Восточный|СВАО|Ярославский
Северо-Западный|СЗАО|Куркино
Северо-Западный|СЗАО|Митино
Северо-Западный|СЗАО|Покровское-Стрешнево
Северо-Западный|СЗАО|Северное Тушино
Северо-Западный|СЗАО|Строгино
Северо-Западный|СЗАО|Хорошево-Мневники
Северо-Западный|СЗАО|Щукино
Северо-Западный|СЗАО|Южное Тушино
Троицкий|ТАО|Вороновское
Троицкий|ТАО|Киевский
Троицкий|ТАО|Кленовское
Троицкий|ТАО|Краснопахорское
Троицкий|ТАО|Михайлово-Ярцевское
Троицкий|ТАО|Новофедоровское
Троицкий|ТАО|Первомайское
Троицкий|ТАО|Роговское
Троицкий|ТАО|Троицк
Троицкий|ТАО|Щаповское
Центральный|ЦАО|Арбат
Центральный|ЦАО|Басманный
Центральный|ЦАО|Замоскворечье
Центральный|ЦАО|Красносельский
Центральный|ЦАО|Мещанский
Центральный|ЦАО|Пресненский
Центральный|ЦАО|Таганский
Центральный|ЦАО|Тверской
Центральный|ЦАО|Хамовники
Центральный|ЦАО|Якиманка
Юго-Восточный|ЮВАО|Выхино-Жулебино
Юго-Восточный|ЮВАО|Капотня
Юго-Восточный|ЮВАО|Кузьминки
Юго-Восточный|ЮВАО|Лефортово
Юго-Восточный|ЮВАО|Люблино
Юго-Восточный|ЮВАО|Марьино
Юго-Восточный|ЮВАО|Некрасовка
Юго-Восточный|ЮВАО|Нижегородский
Юго-Восточный|ЮВАО|Печатники
Юго-Восточный|ЮВАО|Рязанский
Юго-Восточный|ЮВАО|Текстильщики
Юго-Восточный|ЮВАО|Южнопортовый
Юго-Западный|ЮЗАО|Академический
Юго-Западный|ЮЗАО|Гагаринский
Юго-Западный|ЮЗАО|Зюзино
Юго-Западный|ЮЗАО|Коньково
Юго-Западный|ЮЗАО|Котловка
Юго-Западный|ЮЗАО|Ломоносовский
Юго-Западный|ЮЗАО|Обручевский
Юго-Западный|ЮЗАО|Северное Бутово
Юго-Западный|ЮЗАО|Теплый Стан
Юго-Западный|ЮЗАО|Черемушки
Юго-Западный|ЮЗАО|Южное Бутово
Юго-Западный|ЮЗАО|Ясенево
Южный|ЮАО|Бирюлево Восточное
Южный|ЮАО|Бирюлево Западное
Южный|ЮАО|Братеево
Южный|ЮАО|Даниловский
Южный|ЮАО|Донской
Южный|ЮАО|Зябликово
Южный|ЮАО|Москворечье-Сабурово
Южный|ЮАО|Нагатино-Садовники
Южный|ЮАО|Нагатинский Затон
Южный|ЮАО|Нагорный
Южный|ЮАО|Орехово-Борисово Северное
Южный|ЮАО|Орехово-Борисово Южное
Южный|ЮАО|Царицыно
Южный|ЮАО|Чертаново Северное
Южный|ЮАО|Чертаново Центральное
Южный|ЮАО|Чертаново Южное
